sequence,topic_id,sentiment
similar serger befor,0,0.0
work o. k. wish needle threading way,1,0.0
buy item gift daughter,3,0.0
nice looking eassy,5,0.6
shipping fast pleased,3,0.35
try thread,1,0.0
mac disc available,4,0.4
foot dry,0,-0.06666666666666665
yes know pay brandnew serger warning,0,0.0
supposedly machine sell cheaply amazon,2,0.4
hour sew,0,0.0
finally work mediocre jopb uneven stitch gap,0,-0.2333333333333333
hate,5,-0.8
sew nearly everyday,0,-0.2
instructional dvd incomplete,4,0.0
find video youtube explain thread,4,0.0
chain inch thread break,1,0.0
know machine thread correctly,1,0.0
live mexico ship daughter bring week june,3,0.13636363636363635
piece garbage brother ashamed,2,0.0
dupe brother obviously shame,2,0.0
purchase serger wife valentine day,0,0.0
buy brother sewing machine christmas,0,0.0
easy serger,0,0.43333333333333335
serger arrive time,0,0.0
change thread dial suggest start serge problem,0,0.0
order thursday morning receive merchandise day later awesome prompt service,3,0.5
receive serger gift christmas research,0,0.0
want serger year,0,0.0
intimidate machine watch dvds read manual scour internet serge box,4,0.0
buy new thread cut pattern test machine finally try,1,0.06818181818181818
thing,5,0.0
brother refer authorized repair shop close minute away,2,0.0
repair shop course easy fix tell long week,8,0.19166666666666668
hopefully ill luck machine,2,-0.5
disappointment christmas gift arrive completely nonfunctional,3,-0.25
review regard function product purchase x mas gift wife,3,0.0
complaint,3,-0.3
complaint order ask gift specify,3,-0.3
ask want submit gift message,3,0.0
,5,0.0
wife find box outside step bring house set table,3,0.0
way shippedusually item think ship gift ship box clearly specify,3,0.09999999999999999
come special brown shipping box package,3,0.35714285714285715
ship brother serg box big old photo serg right box detailed description,3,0.19642857142857142
suprise factor calledship gift option,3,0.0
satisfied far feel review immature time,3,0.3
timely shipment excellent,3,1.0
like reviewer research buy serger,0,0.0
know perform,2,0.0
dvd come helpful manual reference daily use,4,0.0
budget want serg recommend,6,0.0
love,5,0.5
regular sewing machine enjoy feature,0,0.2
wish state come cone thread love,1,0.5
setting find easy use,2,0.43333333333333335
want serger,0,0.0
easy threading come extra attachment,1,0.21666666666666667
love maggie,5,0.5
research serger long time thie win,0,0.375
easy use came thread help learn thread machine,1,0.43333333333333335
love,5,0.5
easy thread easy oil easy clean professional result,1,0.3533333333333334
impressed pricereceive delivery promptly,3,1.0
highly recommend,3,0.16
wife happy item,3,0.8
look read review buy,3,0.0
singer machine poor review brother good review price,2,0.14999999999999997
glad right choice buy brother,2,0.39285714285714285
sew impressed quality item include machine,0,1.0
brother way,2,0.0
buy serger want unsure,0,0.0
read ton review decide wouls like try,3,0.0
price great machine awesome,2,0.9
easy thread color code image inside machine,1,0.43333333333333335
manual helpful video definitely believe use problem,4,0.0
feel like professional sit sew,0,0.1
love use machine far,2,0.3
easy use efficient,2,0.43333333333333335
exactly look great price free shipping,3,0.4833333333333334
work wonderfully,2,1.0
machine easy thread state,1,0.43333333333333335
need buy new,3,0.13636363636363635
read review thebrother,3,0.0
easy thread,1,0.43333333333333335
time try sew great,0,0.8
like option thread thread thread look different,1,0.0
book easy read cd come fill extra info need,4,0.21666666666666667
happy,5,0.8
long run feel save money clothe fit,0,0.17500000000000002
girl ask lol,5,0.8
love serger,0,0.5
thread machine little intimidate review instruction easy,1,0.12291666666666667
machine good investment pay,2,0.7
love serger,0,0.5
use serg time,6,0.0
love,5,0.5
work great time right box,3,0.5428571428571429
especially like way come color thread preloade understand threading path,1,0.0
quality design machine excellent,2,1.0
serger,0,0.0
learn love far,2,0.3
miss study work,2,0.0
maybe matter,5,0.0
glad easy way hem delicate fabric like chiffon ice dance dress,0,0.2111111111111111
workhorse,2,0.0
serger year use fairly heavily,0,-0.2
overall love machine hesitate buy need,2,0.25
love new serger feature dream able money budget spend serger,0,0.37878787878787873
thread,1,0.0
like fact use regular sewing machine needle model plus come lot extra,1,0.0
cd helpful learn thing,4,0.0
overwhelmed arrive,3,0.0
think d figure video tutorial small dark,4,-0.2
set husband figure s brain family,3,0.0
day decide stab read threading instruction book honestly idea differently difficult,1,0.04999999999999999
week time mess,2,-0.175
difficult video help bunche,4,-0.5
love happy buy,3,0.65
wonderful serg easy use look,6,0.7166666666666667
helpful cd,4,0.0
amazed little machine,2,-0.1875
price reasonable,3,0.2
good home serg price,6,0.7
easy thread needle looper,1,0.43333333333333335
easy instruction,4,0.43333333333333335
love serger,0,0.5
use industrial serger concern buy serger complicated thread complicated,0,-0.5
bunch cool feature figure like gentle gathering baby marrow hem regular serging,0,0.18333333333333335
great machine wellworth money spend,2,0.8
money awesome great feature like gathering foot,0,0.9
easy thread,1,0.43333333333333335
buy,3,0.0
nice serger especially price,0,0.3
serg great starter machine,6,0.8
able thread use book picture serg simple,1,0.25
nice machine,2,0.6
revision buy machine use machine,2,0.0
hour work great,2,0.8
great machine,2,0.8
fairly quiet good job,7,0.35
theading easy follow direction,4,0.43333333333333335
skeptical cheap compare serger,0,-0.04999999999999999
far love machine,2,0.3
work wonderfully,2,1.0
choose read review disappoint,3,0.0
serger fearfactor read manual complete serg handbook chris james good easily able thread machine complete project issue,0,0.35
highly recommend machine look serg,6,0.16
old serg bit dust year service time replacement,6,0.1
decide brother time favorite sewing machine brother,0,0.5
easy use dependable want new serger,0,0.28484848484848485
read review multiple website consistently good,3,0.35
price affordable,3,0.0
order machine saturday night arrive follow wednesday morning,3,0.0
right box set,3,0.2857142857142857
surprise thread sew couple minute believe easy thread definitely old daunting thing use serger thread adjust tension,1,0.26666666666666666
wonderfully easy use produce quality work,2,0.43333333333333335
consider purchase serg sew year wrong,6,-0.5
sew purse curtain clothe way produce quality item serger,0,0.0
afraid believe whatall sewing project fun professionallooking,0,-0.15
purchase serg lust monthsand glad purchase,6,0.5
order brother sewing machine year ago yearn ease finish edge month,0,0.0
concerned serge cost learning curve,0,0.0
cost machine greatit slightly sewing machine,0,-0.16666666666666666
bit nervous affordability especially expensive serger thread automatically,0,-1.0
ease use threading dread fantastic,1,0.4
minute thread machine come thread,1,0.0
machine perfect mea new avid sewer want affordable serger,0,0.4621212121212121
machine week happy purchase,2,0.8
use serg afraid,6,-0.6
come nice instruction instructional disc accessory project,4,0.6
sew serge sew,0,0.0
easy thread despite initial fear,1,0.21666666666666667
note begin serge right away able learn thread machine,0,0.39285714285714285
day machine straight line curve corner,4,0.2
machine smoothly quickly large project easy,2,0.3238095238095238
complaint far brother d serg,2,-0.09999999999999999
sew year buy serger dance costume daughter,0,0.0
costume year tell easy fast serger,0,0.31666666666666665
wonderful big challenge sewing table machine change work serger,0,0.5
stranger complicated little machine,2,-0.34375
simple powerful stitch solve complicated threading issue breeze change thread,1,-0.06666666666666667
little serg cost pay,6,-0.1875
serger perfect,0,1.0
trouble thread incorrectly,1,-0.2
serge away,0,0.0
wonder buy serger soon amazing past year start sew clothe use overlock stitch finish garment think serg blow work water,0,0.17500000000000004
sew beautifully watch demo cd find direction guide machine actually write execute,0,0.425
training usingthreade serger minute,0,0.0
change spool relatively problem white black,1,-0.05555555555555555
machine smooth compact relatively quiet,7,0.2
believe,5,0.0
selftaught sewer intimidate serger,0,0.0
promptly unthreade machine teach thread start finish,1,0.0
heart understand serg thread nearly,6,0.1
read manual carefully,4,-0.1
find scrap fabric plug turn try,0,0.0
serge perfectlyi experiment tension setting bit fabric look like tension loose tight,1,-0.12774725274725274
little serg excellent gateway professional sewing pricepoint urge try,0,0.30416666666666664
highly recommend buy look reasonable price serger,0,0.18
use work fine,2,0.4166666666666667
learn thread intimidate comit sit happen lot simple thinki issue slight imperfection amazon immeditely agree replace,1,-0.08333333333333333
low looper thread break know threading right way ask solution,1,0.14285714285714285
serger sew year,0,0.0
use serg,6,0.0
easy learn,2,0.43333333333333335
easy thread,1,0.43333333333333335
instruction plus video easy understand,4,0.43333333333333335
quality stitch good,0,0.7
recommend,3,0.0
catch attention review easy use low price willing chance,3,0.22777777777777777
review accurate,3,0.4000000000000001
read instruction book watch handy cd able pair pant immediately able thread machine correctly try bit puzzle looper,1,0.5333333333333333
recommend learn serge,0,0.0
serg use far pleased purchase,6,0.3
direction book disc pretty clear,4,0.175
seam guide clearly mark appreciate,0,0.09999999999999999
amazing review guess cheap machine base price,2,0.06666666666666665
absolutely case thread like dream work expensive serger use,0,-0.15
serger long hold ill year year come,0,-0.275
use serg kind worried like use,6,0.6
read different model sound good,3,0.3666666666666667
thread hard time,1,-0.2916666666666667
recommend brother serger,0,0.0
iwas recommend machine friend,2,0.0
right,5,0.2857142857142857
user friendly,2,0.375
sew immense product use fabric ravel tremendously,0,0.16666666666666666
fight year,3,0.0
extremely difficult thread constantly break thread,1,-0.25
break thread,1,0.0
add plus fact use ordinary spool thread,1,-0.25
want elaborate serger probably,0,0.5
want totally functional workhorse serve reasonable price perfect,2,0.39999999999999997
brother sewing machine good,0,0.7
order serger hope good,0,0.7
product came promptly package securely,3,0.4
absolutely love serger easy thread beautiful job,0,0.5944444444444444
want serger break bank good sewing machine,0,0.7
serge want serger work cost,0,0.0
find easy thread come color code mess,1,0.12916666666666668
love,5,0.5
having singer serger joanns,0,0.0
recieve day machine work super great,2,0.5666666666666667
run quietly little easy thread,1,0.12291666666666667
work,2,0.0
love machine,2,0.5
wonderful serger,0,1.0
rethread time work,1,0.0
old serger hard thread decide buy new glad buy,0,0.11117424242424243
purchase amazon arrive day,3,0.0
amazon great,3,0.8
love machine play setting min use scrap fabric perfect buy,0,0.75
brother fine machine,2,0.4166666666666667
wife little trouble thread machine instruction easy thread,1,0.015277777777777779
reconmend highly,3,0.16
thank,5,0.0
brother serger love brother sewing machine,0,0.5
suggest need good workhorse,2,0.7
serger,0,0.0
pretty simple use,2,0.125
come color code thread,1,0.0
love serg recommend time user experienced,6,0.65
love serger easy thread worried complicated use easy,0,0.21666666666666667
come helpful video,4,0.0
highly recomend,3,0.16
machine good feel right box,3,0.4928571428571428
play bit respond nicely adjustment trial stitch fabric whatnot,1,0.6
easy understand threading big deal,1,0.21666666666666667
time til understand work,2,0.0
great price good machine,2,0.75
pleased lot project line,2,0.5
thank amazon speedy service,3,0.0
order saturday free shipping today wellpacked,3,0.4
groan use sewing machine,0,0.0
hesitate worth penny time save garment finish quality,0,0.3
find good youtube thread brother serger,0,0.7
clear cd come package,4,0.09999999999999999
good basic serger price,0,0.35
easy use use,2,0.43333333333333335
serg rely totally instruction use,6,0.0
instruction cd help lack close shot,4,0.0
instruction manual help threading,1,0.0
tie new thread thread machine scratch,1,0.13636363636363635
adjust tension material needle,1,0.0
thread breakage,1,0.0
serg complaint,6,-0.3
love value hard eared dollar glad easy run,3,0.28541666666666665
great price great little machine,2,0.4708333333333334
easy follow video learning curve,4,0.43333333333333335
delivery fast day early expect package,3,0.15000000000000002
love threading complicated lot learn decide class read book,1,0.0
serg love learn new thing dvds blessing easy read instruction,4,0.3565656565656566
know wait long buy,3,-0.05
eas searger thread,1,0.0
read review concerned threading easy patient,1,0.43333333333333335
defenently recommend,3,0.0
mother law love,5,0.5
nice affordable machine job,2,0.6
pant long mother law fix machine pant look identical original sewing,0,0.1625
machine worth money,2,0.3
wish purchase long ago comes thread easy understand instruction,4,0.19166666666666668
pleased quality machine recieve day use immediately,2,0.5
threading super easy stitch adjustment easy change different fabric,1,0.3
highly recommend machine amazon,2,0.16
finish edge,0,0.0
ill admit use threading,1,-0.5
birthday present daughter,3,0.0
sewing hobby want serger thing,0,0.0
idea work,2,0.0
ecstatic know love use,2,0.5
serger,0,0.0
sew year finally decide serger,0,0.0
fact thread try immediately,1,0.0
tension set correctly use problem,1,0.0
serger need,0,0.0
roll hem like claim,0,0.0
instead way uneven stiche raw edge,0,-0.2153846153846154
evrythe great reccomend,3,0.8
know hope roll hem feature,0,0.0
year sewing finally decide seam finish easy,0,0.21666666666666667
mind machine great,2,0.8
far home sewer need bargain price,0,0.1
reliability come issue laterthreade somewhat intimidate book handy help,1,0.6
practice time adjust tension test fabric confidence grow,1,0.0
brother design machine color code prompt,1,0.0
zoom beautifully fun,2,0.3
glad try new,5,0.3181818181818182
year experience serger serge,0,0.0
exactly want yearsthe ease use item pleasure work instruction clearly write easy follow plus dvds answer operate question,4,0.2611111111111111
love,5,0.5
use serg use,6,0.0
presser foot lever break,0,0.0
time product warranty amazon force brother assistance,2,0.0
information tell product return brother authorize service center happen hour half away,2,-0.13333333333333333
cover warranty labor,8,0.0
proceed find order avoid approximately hour drive drop pick able service,3,0.04999999999999999
buy brother product ummm probably,2,0.0
lot homesewing apparel,0,0.0
little knife trim clean seam lower knife use,0,0.08958333333333335
machine come prethreade snip tie new color issue,1,0.13636363636363635
instruction clear need thread manually feel confidant,1,0.09999999999999999
garment d recently finish redo hem line stitch,0,0.0
think long happy life,5,0.375
feel like stalk machine long time,2,-0.05
great review online people buy brother period,2,0.8
machine price high shocked amazon cheap,2,-0.046666666666666634
great machine,2,0.8
watch dvd look book,4,0.0
time thread,1,0.0
average person easy tie new thread exist pull try hard way,1,0.03200757575757575
whip placemat hour,2,0.0
domestic goddess like look serg,6,0.0
good buy nice lil machine,2,0.6499999999999999
happy,5,0.8
hesitant buy serg know use,6,0.0
kind intimidate threading process machine,1,0.6
easy set use time,2,0.43333333333333335
manual clear easy understand accompany dvds help clear question,4,0.2111111111111111
serger,0,0.0
love machine work horse,2,0.5
year problem,3,0.0
highly recomend machine need basic serger,0,0.08
love brother d,2,0.5
worried thread,1,0.0
difficult,2,-0.5
come instruction manual dvds help,4,0.0
surprised easy,2,0.26666666666666666
highly recommend serger beginner,0,0.16
d touch serger figure,0,0.0
awesome,5,1.0
receive yesterday wife pleased product,3,0.5
thread serg happy,6,0.8
open box look dvd work,4,0.0
excellent dvd,4,1.0
walmart product shelf,3,0.0
typical big box store today tomorrow,3,-0.08333333333333333
unit good review serger line,0,0.7
amazon great price dollar free shipping,3,0.6000000000000001
thank amazon,3,0.0
august need repair cover wonderful warranty,8,1.0
reputable repair shop tell repair,8,0.5
explain machine cheaply wrong,2,-0.5
good luck garment type bulk,0,0.7
speak brother customer service worthless way tell luck,2,-0.8
near certify repair shop hour away timing cover year warranty,8,0.1
sure read fine print,3,0.45833333333333337
great serg great price,6,0.8
cautious threading combination,1,0.0
video helpful book helpful,4,0.0
machine week,2,0.0
completely rethreade time different colored thread problem,1,0.05
serge away fun,0,0.3
amazed nice machine,2,0.6
tie old thread new thread help learn thread machine,1,0.11818181818181818
soon thread successfully use project wait serge stitch,0,0.75
happy purchase,3,0.8
wonderful serger beginner,0,1.0
know extremely talented people sew year high end serger tell serger urge buy,0,0.43
buy cheap expect hold month countless positive review receive buy,3,0.2090909090909091
try stitch,0,0.0
definitely learning curve use serger,0,0.0
come manual dvd operate thread extra feature,4,0.0
dvds youtube easy reference,4,0.43333333333333335
hear horror thread serger nervous,0,0.0
rethreade machine time change thread extremely easy,1,0.43333333333333335
easy follow threading guide inside cover foolproof,1,0.43333333333333335
time dvd manual clearly,4,0.09999999999999999
serg price range consider try,6,0.0
expensive serger hear great review extra feature,0,0.10000000000000002
work flaw,2,0.0
work great roll edge hem,0,0.8
try material fail,0,-0.5
love,5,0.5
brother d layin thread serger great serger seamstress,0,0.8
little challenging thread time serger,0,0.15625
initial fear open panel hard thread imagine,1,-0.09722222222222222
instruction manual write detail easy understand,4,0.43333333333333335
work like charm far issue,2,0.1
love,5,0.5
use d serger year,0,0.0
needlesand,1,0.0
exercise frustration miss stitch inconsistently gather seam tight seam thread break use,1,-0.17857142857142858
buy dollar serg thinking ill spend extra money happy new serger,0,0.1090909090909091
tell need spend kind money serger,0,0.6
serger job,0,0.0
happy d plan spend save digital camera,3,0.4
like buy serger base positive review,0,-0.2863636363636364
approach machine timidity afraid mess waste money able use,2,-0.11874999999999997
cheap,3,0.4
latent fear come thread tension stare,1,0.0
week later force use designerfriend ask help drapery client overdue,0,0.0
deep breath peek blanket darn box scrap material,0,0.0
run video time read reread booklet,4,0.0
way misplace dvd joannaglass series youtube,4,0.0
trial error machine thread,1,0.0
right begin serge scrap,0,0.2857142857142857
lol,5,0.8
believer hallelujahi serge maniac,0,0.0
serger sew year confidence build,0,0.0
p.s read short story unthreade machine right rethreade time,1,0.14285714285714285
direction sense,4,0.0
sew awhile,0,0.0
think need expensive machine start,2,-0.5
